article_cover,authors,category,content_summary,headline,published_date,updated_date
https://www.coindesk.com/resizer/xZ16cCAaJnwyPGOfqaXb2-PqHCQ=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/3Y3WS4YHYJACREHKXD57V6VILM.jpg,[{'Glenn Williams': 'https://twitter.com/@@GwilliamsJr_CMT'}],Markets,Bitcoin and ether were trading  around new areas of support; markets were quiet ahead of a likely 25 basis point rate increase. ,"Crypto Markets Analysis:  Bitcoin, Ether Trading Activity Lessens as Investors Await FOMC’s Next Interest Rate Hike","Jan 27, 2023 at 8:45 p.m. UTC","Jan 27, 2023 at 8:48 p.m. UTC"
https://www.coindesk.com/resizer/6AvpCqBAWQFbiZf6hfUxeBPsQUg=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/QY6YA3GVDBAFPJNW7XOJYQZNXY.jpg,"[{'Helene Braun': 'https://twitter.com/@HeleneBraunn', 'Bradley Keoun': 'https://twitter.com/@Liqquidity'}]",Markets,The official's comments might be relevant to bitcoin traders because the largest cryptocurrency has proven to correlate with the dollar's strength in foreign-exchange markets. ,"IMF’s Georgieva Warns Central Banks to Hoard Reserves, Follow Fed Hikes","Oct 12, 2022 at 10:17 p.m. UTC","Oct 13, 2022 at 2:10 p.m. UTC"
https://www.coindesk.com/resizer/trD1vfgVDEaVzDpN0kVI-jzOO68=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/VJM26RLM4NASXF5NZKFV5VAHT4.jpg,[{'Omkar Godbole': 'https://twitter.com/@godbole17'}],Markets,"Treasury yields remain elevated after the U.S. CPI, offering a reality check to risky assets, including cryptocurrencies. ",Bitcoin Unlikely to See Notable Recovery After Thursday's Short Squeeze: Traders,"Oct 14, 2022 at 9:43 a.m. UTC","Oct 14, 2022 at 8:26 p.m. UTC"
https://www.coindesk.com/resizer/Rni1nvm2oaavOWuegfZikXUPD2U=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/FHG5JA2XOFCHZF5KQ4RC6PO5YE.jpg,"[{'Lyllah Ledesma': 'https://twitter.com/@LedesmaLyllah', 'Omkar Godbole': 'https://twitter.com/@godbole17'}]",Markets,"The latest price moves in crypto markets in context for Oct. 14, 2022.","First Mover Americas: Bitcoin Rebounds to $19.6K, Ether Up 6%","Oct 14, 2022 at 12:18 p.m. UTC","Nov 7, 2022 at 6:34 p.m. UTC"
https://www.coindesk.com/resizer/4m9xB1pwj5sa3j8jh0gnKmqYWWQ=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/LQAKV36A3JHUBCQX6YIIAA3DNI.jpg,"[{'Lyllah Ledesma': 'https://twitter.com/@LedesmaLyllah', 'Omkar Godbole': 'https://twitter.com/@godbole17'}]",Markets,"The latest price moves in crypto markets in context for Oct. 12, 2022.","First Mover Americas: Bitcoin Due for Big Move, Solana's TVL Tanks After Mango Exploit","Oct 12, 2022 at 12:30 p.m. UTC","Nov 7, 2022 at 5:26 p.m. UTC"
https://www.coindesk.com/resizer/1-vnNBnIpvLxbu3oa4ErxnRbpNU=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/QZGSEGYREJFNDPDXWBKIIXYUCY.jpg,[{'Anna Baydakova': 'https://twitter.com/@baidakova'}],Layer 2,Experts weigh in on the future of crypto as currency ahead of CoinDesk's I.D.E.A.S. conference. ,Bitcoin and Beyond: The Future of Cryptocurrency Investing,"Oct 12, 2022 at 3:05 p.m. UTC","Oct 12, 2022 at 9:38 p.m. UTC"
https://www.coindesk.com/resizer/gQcIMKacGnAvZwcgKCtZcuHPXeM=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/EKOB73NIPNBXHGXPI6D7O7J4SA.jpg,"[{'Glenn Williams': 'https://twitter.com/@@GwilliamsJr_CMT', 'Jocelyn Yang': 'https://twitter.com/@_jocelynyang_'}]",Markets,"The largest cryptocurrency by market capitalization continues in a tight range, a little over $19,000.",Market Wrap: Bitcoin Remains in a Quiet Place Ahead of FOMC Minutes,"Oct 11, 2022 at 8:53 p.m. UTC","Nov 15, 2022 at 11:56 a.m. UTC"
https://www.coindesk.com/resizer/6z_lA5Kss6Fpm7QyFS4RE77ksSA=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/QZIS6OAICFENVKJE3CMBYKF2HE.jpg,[{'Omkar Godbole': 'https://twitter.com/@godbole17'}],Markets,"Options look pricier, one expert said, adding now is the time to sell volatility. ",Bitcoin Technical Indicator Signals Big Moves With Some Traders Getting Ready to 'Sell Volatility',"Oct 12, 2022 at 10:50 a.m. UTC","Oct 12, 2022 at 5:15 p.m. UTC"
https://www.coindesk.com/resizer/PZy869sZLdPDINe-OKSYkjvUwHo=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/I7PFUU73PVDWZDTGWFD55EIGMA.jpg,"[{'Glenn Williams': 'https://twitter.com/@@GwilliamsJr_CMT', 'Jocelyn Yang': 'https://twitter.com/@_jocelynyang_'}]",Markets,"BTC crossed $19,600 at one point but appears likely to continue trading in its recent narrow range. ",Market Wrap: Bitcoin and Ether Start the Week Higher,"Oct 17, 2022 at 8:46 p.m. UTC","Nov 14, 2022 at 6:08 p.m. UTC"
https://www.coindesk.com/resizer/jdx9Ad9H3bAbfGcvGRpsSVH2aE0=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/O4SDKHYMSVAO5F73XVNSWNPEJI.jpg,[{'James Rubin': 'https://twitter.com/@@JPRubin23'}],Markets,Analytics platform CryptoQuant believes this week's Consumer Price Index will move markets; bitcoin continues its recent holding pattern on Tuesday. ,First Mover Asia: Will Bitcoin Remain in the Doldrums? Signals Are Mixed; Major Cryptos Are Mostly Flat,"Oct 12, 2022 at 1:44 a.m. UTC","Nov 14, 2022 at 6:16 p.m. UTC"
